,match,time,slot,text,target
1045,414,-150.47504,4,I look left cause u aint right,0
1047,414,405.43436,2,hey divine,0
1052,418,2496.4191,1,commend tatu boila,0
1053,424,439.25944,8,call roshan,0
1067,424,1921.10304,0,i know what u feel,0
1070,426,832.39676,4,i hate doin this,0
1073,426,889.11626,4,alreadyt,0
1075,426,963.23146,2,balanced af,0
1078,426,1160.64996,4,this hero is broken,0
1089,433,749.28372,6,playing with legend,0
1095,434,708.92693,9,person i have ever played with,0
1103,439,1485.40393,5,he predictedf it,0
1110,443,282.56436,3,very interesting hero,0
1115,444,1671.99173,8,u just saw erick wright guide,0
1118,444,1917.14433,7,CHESTN,0
1133,444,2579.40013,1,on afk,0
1145,451,-79.14733,5,ty!,0
1147,451,-79.14733,6,think about it,0
1186,463,1347.40432,3,wher are they?,0
1198,469,10.79737,3,on block,0
1208,477,1330.40846,1,u cant win why bother,0
1212,477,1357.26856,1,And ur actually not,0
1229,480,1163.4351,4,almost 1 shot,0
1234,480,1907.7232,7,pls end my suffering,0
1238,484,1705.78346,7,cant go as 5,0
1241,484,2120.19096,1,thats it,0
1244,485,1335.84048,4,wp ANother progress for decision making,0
1255,490,1199.60706,6,AGORA TO BRABO,0
1261,491,1462.34295,3,dont do that,0
1262,491,1796.66145,3,please,0
1266,491,2090.06085,3,didnt know how to deff,0
1272,495,439.82974,4,too much greedy!!,0
1273,495,1642.1361,2,im not herald,0
1280,506,1794.36506,0,pushh and end lmao,0
1283,507,1813.75146,3,watching how i die then they due,0
1287,508,2031.284,2,gg wp team,0
1295,515,1902.3259,4,why no bash on quop,0
1305,517,1460.01018,4,my team lost,0
1306,517,1465.07558,0,hes not my friend,0
1312,519,1671.2211,0,pff sniper,0
1317,522,2366.25335,5,REPORT BROOD TY,0
1320,523,2000.7852,1,good to throw ,0
1328,528,199.62755,4,i`m leave and go watch certoon,0
1329,529,2164.03155,4,thanks for game,0
1333,532,471.95144,5,Lol ty,0
1341,538,-27.33917,4,pick techies = report omni hu3,0
1342,538,1.66702,1,encima dice thx techies,0
1343,539,461.75394,6,i win the round of whose got the bettter regen,0
1346,539,2119.94904,6,please,0
1351,544,1804.47481,1,dont touch my team,0
1363,551,2122.6576,7,that costs 0 mana,0
1366,551,2125.0658,1,still chases?,0
1402,555,2057.02163,4,so i could burn u,0
1408,555,2377.31263,3,pls come back,0
1412,555,2540.80293,4,waste time,0
1414,556,1024.6498,3,TIDE FARM,0
1416,556,2329.807,9,this my carry + midd,0
1419,562,927.24026,2,watch replay if ur confused,0
1423,565,977.8946,7,balls removed,0
1426,565,1880.8556,0,report spectre please,0
1452,583,1180.21187,3,you guys have pause already for 5 min +,0
1459,583,1338.67317,3,hes not coming back,0
1472,594,1768.1902,2,u guys arent gonna win this game,0
1487,596,1737.1127,0,Pls report shadow demon,0
1491,598,1899.413,7,i played good but with this wk and riki,0
1493,598,1953.0624,7,Report wk,0
1495,598,1958.2134,8,easy,0
1508,599,2209.2472,5,how have you guys not left?,0
1517,610,1203.70605,2,thanks for eulsing me,0
1525,616,2141.05333,9,commend swap,0
1527,627,185.32145,3,rofl tiny,0
1529,627,573.36,8,clearly cheating,0
1531,627,2295.6725,4,storm u rly so bad,0
1532,627,2318.9519,4,accbuyer -_-,0
1540,635,2531.3957,4,throne?,0
1541,636,289.496,8,lol the lane.,0
1551,638,295.09463,5,Feed?,0
1565,640,2874.51482,6,go soul ring instead of arcane,0
1570,650,2537.01663,7,REPORT AMM GG,0
1572,661,129.76831,0,thanks,0
1575,664,858.42373,9,english pls,0
1579,667,736.6201,2,Why isnt necro mid also?,0
1589,671,2157.22865,5,bara or creep ?,0
1596,682,2035.99785,9,rofl,0
1598,683,1133.85652,8,outplayed,0
1599,683,2930.06002,5,I HAVE NO TAIM ,0
1601,684,1895.41608,9,bird is the word guys,0
1605,695,892.64868,8,really,0
1627,701,436.9933,4,ty pud,0
1629,702,497.94508,0,ain thelping him,0
1640,705,1345.2049,9,serious,0
1643,705,1357.8684,6,top ?,0
1649,710,1006.321,5,wtf is that hero,0
1666,711,2418.61922,9,go to bed,0
1670,712,24.6386,1,Clock Clock Clock Clock Clock Clock Clock ,0
1674,712,433.17736,1,Clock Clock Clock Clock Clock Clock Clock ,0
1676,712,434.577,1,Do you know the wey,0
1688,712,2452.8665,1,Do you know the wey,0
1692,721,1623.20366,5,TEAM?,0
1700,724,1577.5148,0,u dont need english to win dota,0
1702,729,1568.81692,2,i tried to ,0
1709,733,2256.65054,7,in this moment??,0
1724,736,1767.99435,7,he is an axe though,0
1729,736,1967.37835,2,he doesnt have souls,0
1738,741,2183.09728,4,its ok,0
1742,741,2216.64488,5,ez top by the way,0
1743,741,2218.58488,7,swap commend ty,0
1745,744,1517.1629,9,EXCEPT ME ALL MY TEAM IS PRO,0
1750,747,600.12013,4,so the point of the game is to NEVER protect pos 1 ?N,0
1754,750,1600.37586,9,Report am please,0
1756,750,1605.50796,9,please,0
1765,760,1261.7919,3,ff pls ,0
1767,763,1838.2715,5,The cancer lancer,0
1775,767,1638.86645,0,witch fedeer,0
1776,767,2158.08175,4,come wars,0
1791,777,267.53472,6,1 and 1/2,0
1800,781,1240.29717,0,guess were reporting them all for unpausing,0
1803,790,490.91495,5,x miss ghost ship :))),0
1807,796,203.03944,1,this medusa,0
1813,797,923.51048,6,WHAT NOW,0
1835,821,-42.28968,0,learn a real language,0
1840,821,2239.55495,1,my eyes closed,0
1857,823,1156.55092,8,U guys worth to win,0
1868,826,-72.64885,5,where is march?,0
1877,827,2110.94825,3,u can do better just ass blocking mate,0
1879,827,2130.68215,2,what u all still wanna do lol,0
1884,833,1513.62507,7,any problem with dark lord?,0
1886,835,2488.9566,9,dk with no ,0
1892,843,-252.31757,4,tiny has been banned,0
1893,843,1812.9927,9,worth,0
1901,851,1900.9681,0,worth it,0
1902,851,1921.7054,0,really wworth it,0
1906,854,2874.08142,7,"roses are red, violets are not, i snatched up baby madeline, right up out of her cot",0
1910,854,2991.01292,3,FOR MARKING ME AND TA,0
1911,859,343.81607,6,he is off,0
1914,861,-13.46337,9,learning it the hard way,0
1918,864,-79.58056,3,in game now,0
1935,868,1558.61944,7,u done nothing,0
1937,868,2158.35864,7,try more pls,0
1938,868,2706.59284,6,that slark was so sily in start game....,0
1948,878,2474.7697,2,easiest sf of my life,0
1963,886,1795.5953,7,worth,0
1965,886,1902.4927,5,let me show u the wey,0
1966,886,1916.4068,2,thats a gottum ,0
1968,889,1498.46744,1,0 arrow,0
1974,890,3408.30135,9,COMMED,0
1979,891,2804.85442,4,play with the creeps,0
1981,891,2930.04752,4,i played solo,0
1982,892,1535.3584,3,wp malo-fets,0
1984,892,1898.1479,5,rS,0
1995,896,472.35135,6,lol to help bot,0
1996,896,543.06742,8,i wanted a kill ;(,0
1997,896,1829.01605,5,What,0
1999,897,3649.66738,8,easy,0
2002,898,2005.9047,5,that would be you,0
2011,900,2184.04193,6,to be honest you didnt have impact in this game,0
2015,905,-56.55286,8,My internet will go down at like 20 mins and you can all spam KARMARMAKRKM in all chat,0
2019,905,2224.38296,2,that's full house,0
2024,910,2164.98787,5,OK?,0
2044,920,869.48765,0,first time computer,0
2068,926,1729.08832,4,smurfing as clinkz :D,0
2069,931,45.38892,8,why by,0
2070,931,159.96095,4,Really ?,0
2073,931,1899.23795,4,shame on you bro,0
2076,934,1654.6293,2,rep tech,0
2092,942,1783.9721,7,THE DIFFUSAL WORKS,0
2100,945,1524.39447,6,abaddon watchthere ,0
2107,947,151.13608,8,ok thx,0
2113,951,2280.90962,5,Coming from you,0
2114,951,2289.47212,8,You,0
2117,951,2459.65172,5,Report Pan,0
2119,953,1764.13167,2,team roshan,0
2133,954,-43.656,0,currently in game,0
2143,960,2476.41883,1,report team,0
2146,962,665.80408,8,please,0
2147,962,1376.56388,7,gg close game,0
2148,963,1594.26844,0,king of the low,0
2154,965,1859.0811,7,commend bh 18 assist =(,0
2157,965,2358.4488,2,REPORT CLOK FLAMER,0
2162,967,1294.85045,4,sorry :C,0
2176,972,1053.34284,1,can we end?,0
2187,972,1464.10914,5,and just play,0
2190,972,1627.66924,2,only es bane and sky?,0
2193,972,1676.52394,5,(Console): Report submitted: Thank you for helping to improve the Dota 2 community.,0
2196,972,1737.24934,7,10/10 would lane 1v1 vs brew again XD,0
2202,972,1809.42864,9,how es bane and luna can't handle brew,0
2203,972,1829.49694,9,es and bane were looking to fight non stop,0
2207,973,1790.42345,4,you picked four melees,0
2211,975,1994.98564,0,stop it pls,0
2223,986,1633.63443,4,me team report,0
2226,989,2107.11446,2,why,0
2229,991,829.1309,5,fast ,0
2234,991,2125.2322,3,lol esse weaver,0
2251,999,2007.22188,3,thats it haha,0
2253,1001,585.42376,7,lol 3rd times the charm,0
2258,1002,2182.28746,6,how many times are you gonna miss,0
2259,1002,2190.31486,7,how many times are you gonna miss,0
2265,1006,1291.618,3,he just know control armlet,0
2270,1014,-42.323,6,he is pro,0
2273,1014,1387.3279,8,this sf so bad,0
2286,1019,2838.2482,1,he always need mroe farm,0
2287,1019,2846.2756,5,wr also shakle me:D,0
2295,1029,1792.50248,3,wp team,0
2302,1033,1658.36176,1,we have nice mid and carry,0
2303,1033,1660.16126,4,thot,0
2304,1034,1157.75062,2,ty brat,0
2308,1035,-47.92677,1,14years OLD,0
2323,1035,1627.036,9,nc abed,0
2332,1047,785.7748,4,how tinker lost this game,0
2347,1050,1685.63603,6,u know arise,0
2360,1053,93.9104,6,sf 1 soul,0
2367,1053,1657.6619,9,go throne,0
2380,1057,1317.04504,8,i got to play with 4 animals,0
2386,1057,1334.77404,1,u are biggest animal for allchatting x),0
2388,1057,1340.10614,6,and my help,0
2394,1059,990.12909,0,ew! carry TT on support!,0
2399,1061,-59.41884,1,to our yurnero player,0
2400,1061,1236.23146,2,cant play jugg,0
2405,1063,674.46866,0,i love you sweatheart,0
2409,1063,1492.269,0,nice items alch LOL,0
2428,1070,1939.91445,2,lich full sup for defeat,0
2430,1073,18.96203,7,cant see properly,0
2434,1081,1028.48217,7,U can finish ,0
2443,1081,1190.24267,7,rubick support clock hard and od whos max astral ,0
2452,1082,1871.21906,3,void pick too good,0
2455,1090,916.67617,1,ty for stack,0
2463,1092,1413.92138,4,u want their pos?,0
2466,1092,1802.13748,9,Well played clinkz,0
2467,1092,1833.07618,4,this team ' we cant end quick',0
2475,1096,-69.94959,2,christian,0
2478,1096,-7.69813,0,oh great,0
2482,1096,20.72827,8,party?,0
2485,1096,3613.45397,4,commend the mine,0
2488,1098,2178.83985,4,report lion ty ,0
2492,1109,184.35501,2,Get a life,0
2500,1118,2348.30566,0,you laugh for nothing,0
2504,1118,4240.28586,1,report pa... wasting our time,0
2509,1122,625.31402,6,rofl,0
2519,1122,1833.45532,4,4Head,0
2525,1124,1689.3542,6,what invo,0
2539,1125,805.96984,4,wards sponsor,0
2542,1125,857.12404,5,ALL THE WATN,0
2543,1125,874.71974,5,COME,0
2569,1126,1014.08568,8,you are in middle of our towers,0
2574,1129,1478.13907,1,talking to the mooooooooon,0
2576,1129,1712.13517,8,Throw,0
2579,1129,1927.73627,9,i thrw this,0
2583,1129,2108.68597,5,bot,0
2584,1130,874.15322,2,oKAY What ever Mna,0
2587,1132,1298.81618,1,thats no reason to pause,0
2588,1132,1298.81618,5,and whats that purpose?,0
2607,1146,557.83046,8,help report him,0
2614,1153,1282.05362,8,can only can kill me with ur 2 bodyguards,0
2616,1156,1103.13064,9,sold items already?,0
2627,1164,1862.41487,7,ty am,0
2642,1173,1765.51396,4,thanks for rampadge,0
2644,1176,2552.91088,0,comend pls,0
2645,1177,1229.49982,7,nyx should learn from u,0
2649,1179,-29.25952,2,peru is the best,0
2654,1180,-53.287,3,everything is gonna be ok,0
2660,1182,268.73441,4,Don't worry,0
2673,1192,818.00032,8,why you afk top mag?,0
2679,1192,927.87342,1,Currently In-GameDota 2,0
2682,1192,951.80092,1,refresh,0
2691,1195,6.70143,7,Good luck & have fun!,0
2699,1199,1925.38674,1,TREPORT WAVER Y WIN,0
2700,1201,1289.5518,1,u have anti-bkb team?,0
2702,1201,1862.5812,2,hate,0
2704,1202,1343.03873,2,he is with us,0
2713,1202,3919.88833,5,"Mega creeps, gg wp",0
2715,1214,1282.6535,8,Report him,0
2716,1214,1519.7956,5,our cores decided against showing up,0
2726,1225,1394.6261,1,we have 5 cores,0
2736,1232,1908.66307,7,and look up what tryhard means ,0
2737,1232,1923.58057,5,es offlane,0
2745,1241,-26.86011,4,the irony,0
2748,1241,2273.46832,7,gg thanks bois,0
2751,1243,468.65227,0,tis ahrd,0
2760,1244,225.34498,2,nuice ward,0
2761,1244,1067.33938,8,rofl,0
2770,1244,2103.22808,3,commend pudge,0
2780,1248,1910.6169,3,"no, slark won the game, u can all see it",0
2781,1248,1915.634,6,only this stun on u in last fight can recognized by the nicest move of this game,0
2785,1248,1931.6886,1,in safe time,0
2787,1248,2054.1725,2,this slark talks too much,0
2789,1248,2088.2218,1,i was bad this game  btw,0
2797,1249,-25.7937,0,let me and invo ,0
2800,1249,56.91945,9,Dont come top again poop man,0
2802,1249,196.35208,4,all of you on 5hp,0
2803,1249,209.48221,9,sir it was calculated,0
2807,1249,2758.62255,9,COMEBACK SIR,0
2811,1250,1073.03812,3,woah there,0
2812,1250,1088.10112,3,dial it back to an 11 there mate,0
2819,1250,1704.15062,7,just win ./.. i dont' care,0
2824,1250,1820.89352,6,it's the only explanation LOL,0
2829,1256,627.51345,2,uses stick = luck?,0
2833,1256,1738.19305,2,we been 4 since dk abandon at minute 4,0
2844,1258,1740.06286,2,whawt on drow?,0
2845,1259,2305.71176,8,pls wait thx,0
2853,1260,1994.22364,3,can't own him,0
2854,1260,1994.69194,4,farm all of time,0
2857,1260,2070.01514,9,look at my techies,0
2858,1260,2080.04944,9,4v5 whole game,0
2866,1263,1969.88275,8,commend omak,0
2868,1266,2352.039,5,everywhere,0
2869,1266,3341.6432,5,why,0
2874,1268,1928.06347,7,GG earth you win it game,0
2893,1272,668.43675,6,thx pudge,0
2894,1272,2081.09485,7,see that ?,0
2907,1276,1103.63054,0,why you push,0
2915,1276,1118.62684,8,so im waiting for u to finish,0
2918,1278,884.71736,3,He come,0
2919,1278,1097.86526,5,rep bh an pudge,0
2931,1283,1733.0512,2,you waste time,0
2932,1283,1738.6704,2,he isnt still here,0
2933,1283,1739.9414,6,your time tho,0
2966,1294,1523.91898,8,outplayed,0
2968,1294,2221.32148,9,how did you like my cricket,0
2971,1294,2389.19338,5,commend roaming ck,0
2979,1300,2563.67744,6,report treant sf?,0
2985,1300,2636.89354,4,beast ulted,0
2986,1300,2636.89354,4,give him a clap,0
2993,1316,1.0664,7,what wr no mid,0
2996,1316,1950.17116,8,mother fucer,0
2999,1317,1039.22703,9,not useful for me now,0
3000,1319,128.80188,0,your team,0
3004,1321,1172.9803,9,slow brains,0
3014,1321,1357.5685,3,your dead slowest,0
3015,1321,1389.5607,9,trying to be witty arent' we?,0
3020,1321,2436.7428,1,so what happend?,0
3042,1335,1190.84255,5,dont mind be guys i am just gono chill here,0
3049,1335,1674.75775,8,clock mvp,0
3073,1345,1253.294,2,by sfs,0
3077,1345,2089.1429,5,what?,0
3079,1345,2139.7819,5,wait my ult then,0
3088,1345,3507.9089,2,and i have no team,0
3089,1345,3509.9159,2,to take your base,0
3091,1345,3519.6155,2,"m,y necro bought a 50 minute radiance",0
3112,1353,1400.9579,9,really,0
3115,1353,1485.3373,9,poor country,0
3127,1364,749.417,5,rubick buy wards in ths mode,0
3135,1365,2308.01624,3,yeah playing with illu,0
3144,1366,1844.8463,4,roaming clock,0
3151,1366,1953.2155,6,"Go to play Stardew Valley wk, and learn how to farm",0
3152,1366,2070.7157,3,reprot blue and orange,0
3156,1367,2510.74237,8,CM AL,0
3165,1372,1722.13423,6,he lost ur off,0
3170,1375,758.98136,8,ze old walk it off,0
3173,1376,-54.78779,0,in this glorious 2018,0
3177,1376,-54.78779,0,Doesn't matter if my team or enemy,0
3184,1376,2309.6162,7,what a spell,0
3186,1381,2351.82477,9,in dream,0
3198,1383,41.32325,1,Currently Offline,0
3202,1385,1263.65815,3,srly,0
3204,1385,1936.67735,9,ty for waiting,0
3210,1390,2377.98664,2,he is mongol,0
3214,1393,1895.4401,4,whu ,0
3216,1393,2350.5236,4,WELCOME TO WELL,0
3220,1394,2298.10748,8,nice throw,0
3223,1395,1160.84985,1,how are you my friend,0
3240,1403,-36.04075,0,ye hes the best,0
3241,1403,-22.43813,1,best cartoon EU,0
3242,1404,848.65944,1,ITS OK,0
3243,1404,868.98784,8,Trash invo,0
3249,1405,-68.6499,4,he crash?,0
3250,1405,-68.6499,4,d2 crash ?,0
3271,1405,2907.79296,4,cat burned,0
3276,1407,723.06502,4,AFK ,0
3281,1407,839.63652,9,dont fight,0
3282,1407,857.09892,5,what u doing?,0
3283,1407,879.36022,5,i will rp this brood,0
3289,1414,-11.29726,4,just noticed they removed the poor mans sheild lol,0
3295,1414,1629.80204,5,SO IT DIESNT CHASE?,0
3301,1415,1168.04813,3,happy new year,0
3307,1419,2652.28162,5,everything is possible,0
3312,1421,824.76526,0,buy more wards,0
3318,1421,2059.14576,5,networth,0
3324,1424,1524.94262,6,CLINK COME,0
3330,1429,1558.3861,0,nice hurricane,0
3333,1431,819.06673,5,why so many come here,0
3335,1433,167.5924,8,rofl,0
3339,1437,-24.36071,2,please :),0
3346,1437,1535.49174,5,what is mmr ?,0
3352,1437,3068.65894,2,and global feeding,0
3356,1442,1857.142,5,and alch too,0
3358,1442,2128.5331,9,3 deaths,0
3364,1443,3161.10418,7,tactical distraction :v ,0
3369,1444,1036.07115,2,bb wants to farm ,0
3371,1444,2030.27265,2,that tidebringer crit,0
3374,1445,2857.7361,3,COMNET,0
3376,1450,2941.13907,1,easy,0
3379,1453,2431.63543,0,how lon,0
3382,1457,1749.42846,1,well come Home sniper,0
3384,1458,2132.77848,8,rofl,0
3386,1459,-60.48523,2,who is your offlane,0
3390,1459,-30.6925,9,and i did bettee thatn all other supports,0
3392,1459,-26.09362,9,u were worst carry,0
3394,1459,-16.76258,3,i was the slardar bane,0
3399,1459,1009.95342,0,that slark tho,0
3403,1459,1570.38322,1,slark man its polite to wait for them to return,0
3407,1459,1570.38322,6,party?,0
3417,1459,2412.99132,0,tomorrow will be good day,0
3426,1466,4.26562,1,ITS  THE FISHHHH,0
3431,1466,2433.70754,9,jugg kept complaining about not being able to farm top,0
3439,1470,397.50903,0,REPORT AERTSHAKER,0
3442,1470,510.54813,0,report eart,0
3444,1472,-74.64843,3,why no et instead of tusk,0
3450,1477,1085.63494,7,im just makin sure they dotn win,0
3451,1477,1087.43444,2,so stfu and play,0
3453,1477,1094.76604,7,2- they are 1.5k mmr below me,0
3454,1477,1095.29924,9,i muted all 4 players in my team,0
3464,1477,1158.88374,7,intentional feed they calm down,0
3468,1477,1768.40224,9,game is hard,0
3469,1477,1775.29234,5,to deal with low carry,0
3471,1477,1815.76354,9,thats the play,0
3473,1477,1940.85634,8,guys there's how throw game,0
3477,1477,2120.43484,5,4 reports,0
3479,1480,1696.48576,5,rly ?,0
3484,1481,2044.15814,0,tried my best,0
3485,1482,86.1123,3,what a game,0
3490,1485,1655.16255,3,ss has a problem with me,0
3496,1494,-72.58228,5,FULL TRAIN ,0
3503,1494,-25.6604,8,with 2 ee's,0
3509,1495,1872.91958,7,u can end it,0
3514,1495,1919.94628,5,For him,0
3516,1495,1943.89458,7,"he cant play, farm, talk",0
3519,1497,2100.43607,4,it is useless to play with this medusa,0
3521,1497,2406.11067,4,ty for ruin this game medusa,0
3527,1499,1684.75525,7,that pudge,0
3529,1499,2130.53775,8,dota cenima with arrows dude,0
3530,1499,2139.23395,8,put it on ytube pls,0
3531,1499,2648.46865,6,supported phoenix,0
3538,1502,2763.33402,7,bs hc,0
3547,1503,1503.08629,0,why bb,0
3549,1504,-143.00412,9,name of the ship,0
3551,1504,-96.00989,9,space ship,0
3556,1508,-69.21642,4,Rofl,0
3561,1508,-32.8253,8,go push items,0
3566,1508,14.96302,8,a free win,0
3580,1510,1860.54158,2,end please,0
3581,1510,1867.89998,8,arcane on storm,0
